StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cC,105.0,right,left,0,6.907011758012231
1,cF1,105.0,right,right,1,0.4991321779671125
2,dC,80.0,left,left,1,0.1920918619725853
2,dC,82.0,left,left,1,0.3457903359667398
2,cN1,80.0,left,left,1,0.3837983940029517
1,dC,105.0,right,right,1,0.2310875550028868
2,dC,84.0,left,left,1,0.3457325189956464
1,cN1,105.0,right,right,1,0.4996140960138291
1,uC,105.0,right,right,1,0.3843318449798971
2,cF1,80.0,left,left,1,0.3072757120244205
2,uC,80.0,left,left,1,0.4991464290069416
2,cN1,82.0,left,left,1,0.5373270220006816
2,dC,86.0,left,right,0,0.4225570720154792
2,uC,82.0,left,left,1,0.2687691670143977
1,uC,103.0,right,right,1,0.3072634229902178
1,cN1,103.0,right,right,1,0.3071157630183734
2,cN1,84.0,left,left,1,0.4989100120146759
1,uC,101.0,right,right,1,0.2304081189795397
2,cF1,82.0,left,left,1,0.5757169470307417
2,dC,85.0,left,left,1,0.8442759349709377
2,cF1,84.0,left,left,1,0.422527459973935
2,dC,86.0,left,left,1,0.8826888839830644
1,cN1,101.0,right,right,1,0.3076352550415322
2,cC,80.0,left,left,1,0.3839659950463101
1,cC,107.0,right,right,1,0.2690280210226774
1,cC,106.0,right,right,1,1.112654783995822
2,uC,84.0,left,left,1,0.3839236840140074
2,uC,86.0,left,left,1,0.3836482469923794
2,cN1,86.0,left,left,1,1.496145826997235
1,cC,105.0,right,right,1,0.3455086369649507
1,cC,104.0,right,right,1,0.2687552879797295
1,cN1,99.0,right,right,1,0.4986970410100184
2,uC,88.0,left,left,1,0.652008563047275
2,cN1,88.0,left,left,1,0.7674913110095076
1,uC,99.0,right,right,1,1.726911425008439
2,cF1,86.0,left,left,1,0.2690083300112747
1,uC,97.0,right,right,1,0.3074102319660597
2,cN1,90.0,vertical,left,0,0.4991928660310805
2,uC,90.0,vertical,right,0,0.4218488860060461
1,dC,103.0,right,right,1,0.3455321870278567
1,cN1,97.0,right,right,1,0.3458315349998884
1,cN1,95.0,right,right,1,0.1919604720314965
1,dC,101.0,right,right,1,0.3072830169694498
1,uC,95.0,right,right,1,0.3834811139968224
2,uC,90.0,vertical,left,0,0.5376549020293169
1,cC,103.0,right,right,1,0.8821345659671351
1,cC,102.0,right,right,1,0.3837803709902801
1,cF1,103.0,right,right,1,0.4606104020494968
1,cN1,93.0,right,right,1,0.6136302590020932
2,dC,87.0,left,left,1,0.5755593060166575
2,cF1,88.0,left,left,1,0.4831171860569157
1,cC,101.0,right,right,1,0.536938676959835
2,dC,88.0,left,right,0,1.879519462992903
2,cF1,90.0,vertical,left,0,0.3456364030134864
2,cC,82.0,left,left,1,0.4227480789995752
1,uC,93.0,right,right,1,0.575300354976207
1,cN1,91.0,right,left,0,0.4225330849876627
1,uC,91.0,right,left,0,1.764897624030709
2,dC,87.5,left,left,1,0.575696517014876
2,dC,88.0,left,right,0,0.4604678259929642
2,cN1,90.0,vertical,right,0,0.8059601159766316
2,cF1,90.0,vertical,right,0,0.5754070859984495
1,cC,100.0,right,right,1,0.3841907699825242
2,cC,84.0,left,left,1,0.230598606984131
1,cN1,92.0,right,right,1,0.6518934790510684
1,cF1,101.0,right,right,1,0.3455121240112931
2,uC,90.0,vertical,left,0,0.5374384599854238
1,cN1,91.0,right,right,1,0.5752043519751169
1,cN1,90.0,vertical,right,0,1.342599377036095
1,cF1,99.0,right,right,1,0.3837978759547696
2,cF1,90.0,vertical,left,0,0.4992125140270218
1,cC,99.0,right,right,1,0.920908136991784
1,uC,92.0,right,right,1,0.4221859980025329
1,cF1,97.0,right,right,1,0.6140691100154072
1,dC,99.0,right,right,1,0.345658520993311
2,cC,86.0,left,left,1,1.036869539995678
1,cN1,90.0,vertical,right,0,0.6137798489653505
2,uC,90.0,vertical,left,0,1.688160061021335
1,dC,97.0,right,right,1,0.3453023469774053
2,cN1,90.0,vertical,right,0,0.4610574199468829
2,cC,88.0,left,left,1,0.6142166989739053
1,cN1,90.0,vertical,right,0,3.606942957965657
1,dC,95.0,right,right,1,0.3071495809708722
1,cC,98.0,right,right,1,0.383707000000868
2,uC,90.0,vertical,left,0,0.3846032890141942
1,cF1,95.0,right,right,1,0.1921008239733055
1,uC,91.0,right,left,0,0.6141937110223807
2,cN1,90.0,vertical,right,0,0.07684944302309304
1,uC,91.5,right,right,1,0.57552786602173
1,uC,91.0,right,left,0,0.3457563950214535
2,uC,90.0,vertical,left,0,0.2303950189962052
2,cC,90.0,vertical,left,0,0.6144551750039682
1,cF1,93.0,right,right,1,0.3455213910201564
1,cF1,91.0,right,right,1,0.3457235770183615
1,uC,91.5,right,left,0,0.4220852790167555
1,uC,92.0,right,left,0,0.7295753420330584
2,cC,90.0,vertical,left,0,0.4221571040106937
1,cF1,89.0,left,left,1,0.2304176719626412
1,dC,93.0,right,right,1,0.2305300209554844
2,dC,87.5,left,left,1,0.8441885110223666
2,cN1,90.0,vertical,right,0,1.113558902055956
1,cF1,91.0,right,left,0,1.419705807988066
1,cC,97.0,right,right,1,0.3840023190132342
1,dC,91.0,right,left,0,0.6525650070398115
2,dC,88.0,left,left,1,0.7675270279869437
1,cF1,92.0,right,right,1,0.6907190410420299
1,cC,96.0,right,right,1,0.3453382520237938
1,cF1,91.0,right,left,0,0.7683447989984415
2,uC,90.0,vertical,left,0,0.4220594689832069
2,cC,90.0,vertical,left,0,0.4991891600075178
1,cN1,90.0,vertical,left,0,0.5983702689991333
1,dC,92.0,right,right,1,0.2306135830003768
1,cF1,91.5,right,right,1,0.3453155879979022
1,dC,91.0,right,right,1,0.4608279379899614
2,dC,88.5,left,right,0,0.1155907519860193
2,cC,90.0,vertical,left,0,0.1922479699715041
2,dC,88.0,left,left,1,0.2687695220229216
2,uC,90.0,vertical,left,0,0.4224186119972728
2,cN1,90.0,vertical,right,0,0.6908880149712786
2,cF1,90.0,vertical,right,0,0.1921414739917964
2,cF1,90.0,vertical,right,0,0.6140176760382019
1,dC,90.0,vertical,left,0,1.727222527028061
2,dC,88.5,left,right,0,0.3456002820166759
2,uC,90.0,vertical,left,0,4.449334170029033
1,cF1,91.0,right,right,1,0.4991246500285342
