StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,cC,80.0,left,left,1,1.151192049961537
1,uC,105.0,right,right,1,0.6522947089979425
1,uC,103.0,right,left,0,1.22808750794502
1,cC,105.0,right,right,1,0.7515865440363996
2,dC,80.0,left,left,1,1.036418455012608
1,uC,104.0,right,right,1,1.227432900050189
2,uC,80.0,left,left,1,0.2302510049776174
2,uC,82.0,left,left,1,0.2303878829698078
1,uC,103.0,right,right,1,0.498607735033147
1,uC,102.0,right,right,1,0.2303832560428418
1,dC,105.0,right,right,1,0.4991508760140277
1,uC,101.0,right,right,1,1.880392816034146
1,dC,103.0,right,right,1,0.8829279880155809
1,dC,101.0,right,right,1,0.23040271300124
1,uC,100.0,right,left,0,0.3068802549969405
2,cC,82.0,left,left,1,0.2304203359526582
1,cC,103.0,right,right,1,0.1152357239625417
1,uC,100.5,right,right,1,0.4227587340283208
2,cC,84.0,left,left,1,0.8442750159883872
1,dC,99.0,right,right,1,0.1539079919457436
1,uC,100.0,right,right,1,0.6523492489941418
1,uC,99.5,right,left,0,0.8058377070119604
2,dC,82.0,left,left,1,0.3455690770060755
1,uC,100.0,right,right,1,0.4986740020103753
2,dC,84.0,left,left,1,0.1924062519683503
2,uC,84.0,left,left,1,0.1924511000397615
1,dC,97.0,right,right,1,0.3456319479737431
2,dC,86.0,left,left,1,0.1535699069499969
2,uC,86.0,left,left,1,0.1534732700092718
1,dC,95.0,right,right,1,0.2305167929735035
2,cC,86.0,left,left,1,0.3459181989892386
2,uC,88.0,left,left,1,0.5755203280132264
2,cC,88.0,left,left,1,0.5754962179926224
2,cC,90.0,vertical,left,0,0.4991751849884167
2,cC,90.0,vertical,left,0,0.5754848929936998
2,uC,90.0,vertical,right,0,0.65221113699954
2,cC,90.0,vertical,left,0,0.5761742759495974
2,uC,90.0,vertical,left,0,0.8060273680021055
1,dC,93.0,right,right,1,0.4227488560136408
2,cC,90.0,vertical,left,0,1.036062531988136
2,dC,88.0,left,left,1,0.8824598410283215
1,dC,91.0,right,right,1,0.7290088849840686
1,cC,101.0,right,left,0,0.9206684789969586
1,cC,102.0,right,right,1,0.2689886299776845
1,cC,101.0,right,right,1,0.9585396890179254
2,dC,90.0,vertical,left,0,0.6911322040250525
2,uC,90.0,vertical,left,0,1.151094937988091
2,uC,90.0,vertical,left,0,0.4988617860362865
2,dC,90.0,vertical,left,0,1.036289283016231
2,uC,90.0,vertical,right,0,0.8058697730302811
1,uC,99.5,right,right,1,0.4224275259766728
1,dC,89.0,left,left,1,0.3458447339944541
1,uC,99.0,right,right,1,0.9592207060195506
1,dC,91.0,right,right,1,0.9593605470145121
1,cC,100.0,right,left,0,0.3838799120276235
1,dC,89.0,left,left,1,1.419161563972011
1,cC,100.5,right,left,0,0.5753343099495396
2,dC,90.0,vertical,left,0,1.343289577984251
1,cC,101.0,right,right,1,0.4984810179448687
1,uC,98.5,right,right,1,0.5371391310472973
1,cC,100.5,right,right,1,0.72880019195145
1,cC,100.0,right,left,0,0.690762577985879
2,cC,90.0,vertical,left,0,0.8826083189924248
2,dC,90.0,vertical,right,0,0.8825259790173732
1,cC,100.5,right,right,1,1.074853395984974
1,dC,91.0,right,left,0,1.688493783003651
1,cC,100.0,right,right,1,0.422334672010038
2,cC,90.0,vertical,left,0,0.1920636729919352
2,uC,90.0,vertical,left,0,0.5758170880144462
2,cC,90.0,vertical,left,0,0.7291545119951479
2,dC,90.0,vertical,left,0,0.4993274909793399
2,dC,90.0,vertical,left,0,0.6140376350376755
1,cC,99.5,right,right,1,0.4220946530112997
1,dC,92.0,right,right,1,0.9594962990377098
1,dC,91.0,right,right,1,1.113145748968236
2,cC,90.0,vertical,left,0,0.8062174170045182
2,dC,90.0,vertical,right,0,0.9054802869795822
1,uC,98.0,right,right,1,2.071394758997485
2,dC,90.0,vertical,left,0,0.5754614279721864
1,cC,99.0,right,left,0,1.458512685960159
1,cC,99.5,right,right,1,0.6136361279641278
1,uC,97.5,right,right,1,0.6137418879661709
1,cC,99.0,right,right,1,0.3842232199967839
1,uC,97.0,right,right,1,0.6139022390125319
2,dC,90.0,vertical,left,0,0.8440904699964449
2,dC,90.0,vertical,left,0,0.8058274390059523
1,dC,90.0,vertical,left,0,0.6912612750311382
2,uC,90.0,vertical,left,0,0.5374585409881547
2,cC,90.0,vertical,left,0,0.6908314130268991
2,cC,90.0,vertical,left,0,1.036038239020854
1,cC,98.5,right,right,1,0.2686558419954963
2,dC,90.0,vertical,left,0,0.6520651680184528
1,dC,90.0,vertical,right,0,0.9973747549811378
1,cC,98.0,right,left,0,0.230631816026289
2,dC,90.0,vertical,left,0,0.3070966780069284
2,dC,90.0,vertical,left,0,0.3838444349821657
1,dC,90.0,vertical,left,0,0.4603981940308586
2,uC,90.0,vertical,left,0,0.4605235789786093
1,dC,90.0,vertical,right,0,1.381327120005153
1,dC,90.0,vertical,left,0,1.49681458901614
2,uC,90.0,vertical,left,0,0.2305998780066147
2,dC,90.0,vertical,left,0,0.614328650990501
2,uC,90.0,vertical,left,0,0.6144673639792018
1,cC,98.5,right,right,1,0.2685117629589513
1,dC,90.0,vertical,left,0,0.4989156760275364
2,uC,90.0,vertical,left,0,0.383758082985878
2,cC,90.0,vertical,left,0,0.5755012250156142
2,dC,90.0,vertical,right,0,0.2303852670011111
1,dC,90.0,vertical,left,0,1.76489125599619
1,cC,98.0,right,left,0,0.9596296660020016
1,dC,90.0,vertical,left,0,0.614361820043996
2,cC,90.0,vertical,left,0,0.3836990309646353
1,dC,90.0,vertical,left,0,0.5376700540073216
2,uC,90.0,vertical,left,0,0.3839185680262744
2,uC,90.0,vertical,right,0,0.53737304196693
2,dC,90.0,vertical,left,0,0.4989263419993222
2,uC,90.0,vertical,left,0,0.4227287929970771
1,cC,98.5,right,right,1,1.727114046982024
1,uC,96.5,right,right,1,0.153676706016995
1,uC,96.0,right,right,1,0.4608278429950587
1,dC,90.0,vertical,left,0,0.8056956070358865
1,cC,98.0,right,left,0,1.075173111981712
2,uC,90.0,vertical,right,0,1.228345354029443
2,cC,90.0,vertical,left,0,0.422602841979824
2,cC,90.0,vertical,left,0,0.6139092820230871
1,uC,95.5,right,right,1,0.8055335959652439
1,uC,95.0,right,right,1,0.9589761979877949
2,cC,90.0,vertical,left,0,0.7679962069960311
2,cC,90.0,vertical,left,0,0.9214225889882073
2,uC,90.0,vertical,left,0,2.91596881399164
1,uC,94.5,right,right,1,0.2688423030194826
1,uC,94.0,right,right,1,1.266389565018471
2,dC,90.0,vertical,right,0,1.074215041007847
2,dC,90.0,vertical,left,0,0.6525723069789819
2,uC,90.0,vertical,left,0,1.381641630956437
1,uC,93.5,right,right,1,1.073928979982156
2,uC,90.0,vertical,left,0,0.614340603002347
1,cC,98.5,right,right,1,1.343179174989928
2,uC,90.0,vertical,left,0,1.074303478992078
1,cC,98.0,right,right,1,0.9596871979883872
1,uC,93.0,right,right,1,0.9603784140199423
2,cC,90.0,vertical,left,0,0.1919513760367408
2,cC,90.0,vertical,left,0,0.1921878249850124
2,uC,90.0,vertical,left,0,0.1919662370346487
2,cC,90.0,vertical,left,0,0.153681283001788
1,dC,90.0,vertical,left,0,0.2687201429507695
2,cC,90.0,vertical,left,0,0.3072028970345855
2,dC,90.0,vertical,right,0,1.074369065056089
1,cC,97.5,right,right,1,0.2687770090415142
2,dC,90.0,vertical,right,0,0.4604921040008776
2,cF1,80.0,left,left,1,0.2305374579736963
2,cF1,82.0,left,left,1,0.1925050349673256
1,cF1,105.0,right,right,1,0.191944797988981
2,cN1,80.0,left,left,1,0.1537414269987494
2,cF1,84.0,left,left,1,0.2307494860142469
2,cN1,82.0,left,left,1,0.3069430419709533
2,cN1,84.0,left,left,1,0.1540594529942609
2,cN1,86.0,left,left,1,0.1918310570181347
1,cN1,105.0,right,right,1,0.1921846460318193
1,cN1,103.0,right,right,1,0.8823139449814335
1,cF1,103.0,right,right,1,0.575875484966673
